Issue ID,Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Effort,Dependencies,Acceptance Criteria
PR-EPIC-01,Epic,Privileged Access Hardening,Secure privileged and admin access paths.,Highest,"production-readiness,clinic-platform,security,compliance",PR-EPIC-01,,L,,Privilege-sensitive access paths are protected by stronger authentication and audit controls.
PR-101,Story,Enforce MFA for privileged roles,Require MFA for super_admin clinic_admin and any other role with sensitive access.,Highest,"production-readiness,clinic-platform,security,compliance",,PR-EPIC-01,L,"auth flows; role resolution","MFA enrollment is required before privileged users can continue; Login flow blocks privileged access without MFA completion; Support documentation exists for MFA enrollment and recovery"
PR-102,Story,Add sensitive-action re-authentication,Require recent authentication for high-risk actions such as impersonation subscription changes and PHI export actions.,Highest,"production-readiness,clinic-platform,security",,PR-EPIC-01,M,PR-101,"Sensitive actions check fresh auth state; Expired auth requires re-verification before continuing"
PR-103,Task,Audit admin impersonation end-to-end,Ensure tenant impersonation generates explicit audit records with actor target tenant timestamp and session context.,Highest,"production-readiness,clinic-platform,security,observability",,PR-EPIC-01,S,admin console,"Start and end of impersonation are both logged; Audit entries are queryable in the admin and audit views"
PR-104,Task,Document privileged access policy,Add an operations doc for privileged access rules MFA expectations and admin review cadence.,Highest,"production-readiness,clinic-platform,security,compliance",,PR-EPIC-01,XS,none,"Documentation exists in docs; Policy includes review frequency and emergency-access expectations"
PR-EPIC-02,Epic,Production Observability and Alerting,Make critical failures visible and actionable.,Highest,"production-readiness,clinic-platform,observability",PR-EPIC-02,,L,,Critical production failures are visible to operators quickly enough to intervene.
PR-201,Story,Add job backlog alerting,Alert when queued or retrying jobs exceed thresholds.,Highest,"production-readiness,clinic-platform,observability",,PR-EPIC-02,M,"jobs; system_logs","Queue backlog thresholds are defined; Alert triggers on backlog repeated failure and retry saturation"
PR-202,Story,Add edge-function failure alerting,Alert on repeated failure in reminders insurance processing integration endpoints and report refresh functions.,Highest,"production-readiness,clinic-platform,observability",,PR-EPIC-02,M,edge function logging,"Failed edge functions surface to operational owners quickly; Alert routing is documented"
PR-203,Task,Add report refresh health visibility,Track last successful materialized-view refresh and expose stale state.,Highest,"production-readiness,clinic-platform,observability,reports",,PR-EPIC-02,S,report refresh jobs,"Last successful refresh timestamp is stored or queryable; Operators can identify stale reporting state without manual SQL"
PR-204,Story,Build operations dashboard for logs and jobs,Create a usable operational dashboard or admin view for core platform telemetry.,Highest,"production-readiness,clinic-platform,observability",,PR-EPIC-02,M,"system_logs; client_error_logs; jobs","Operators can view job failures recent system errors and client error trends"
PR-EPIC-03,Epic,Healthcare Operations Baseline,Close core operational compliance gaps.,Highest,"production-readiness,clinic-platform,compliance",PR-EPIC-03,,M,,Core healthcare operational controls are documented and reviewable.
PR-301,Task,Define PHI retention and deletion policy,Document retention rules for patient billing lab prescription portal and audit data.,Highest,"production-readiness,clinic-platform,compliance",,PR-EPIC-03,S,feature report,"Policy covers each PHI-bearing feature; Archive and delete behavior is documented"
PR-302,Task,Create backup and restore validation checklist,Formalize backup verification and restore drills.,Highest,"production-readiness,clinic-platform,compliance,observability",,PR-EPIC-03,S,remote Supabase operations,"Restore drill cadence is defined; Validation steps include tenant isolation and RLS verification post-restore"
PR-303,Task,Create incident response and access review runbook,Add a runbook for production incidents and a recurring access review process.,Highest,"production-readiness,clinic-platform,compliance,security",,PR-EPIC-03,S,none,"Incident categories escalation path and access review checklist are documented"
PR-304,Task,Complete vendor compliance inventory,List third-party services that need healthcare or privacy review or BAA handling.,Highest,"production-readiness,clinic-platform,compliance",,PR-EPIC-03,M,"reminder vendors; Agora; email vendors; external integrations","Vendor inventory exists; Each PHI-touching vendor has an assigned review status"
PR-EPIC-04,Epic,Critical End-to-End Test Coverage,Protect core clinical and patient-facing flows with automation.,High,"production-readiness,clinic-platform,testing",PR-EPIC-04,,XL,,Highest-risk journeys are covered by automated tests.
PR-401,Story,Add appointment lifecycle end-to-end test,Cover create update conflict and completion paths for appointments.,High,"production-readiness,clinic-platform,testing,appointments",,PR-EPIC-04,M,stable remote test data,"Booking and update flows run automatically; Conflict behavior is asserted"
PR-402,Story,Add portal login and scoped-access end-to-end test,Verify invite-only login and patient-scoped access.,High,"production-readiness,clinic-platform,testing,portal",,PR-EPIC-04,M,portal auth flow,"Portal user can log in through the intended path; Portal user cannot reach data outside their own scope"
PR-403,Story,Add reminder scheduling and delivery integration test,Validate reminder scheduling retries and final status transitions.,High,"production-readiness,clinic-platform,testing,observability",,PR-EPIC-04,L,"reminder queue; vendor stubs or sandbox","Reminder queue state changes are tested; Retry and failure behavior is asserted"
PR-404,Story,Add telemedicine join flow test,Cover token creation and session join flow for an appointment-linked video session.,High,"production-readiness,clinic-platform,testing,telemedicine",,PR-EPIC-04,M,"token edge function; call page","Call session can be started from an appointment path; Token issuance and error fallback are tested"
PR-405,Story,Add billing and report access smoke suite,Cover invoice workflow plus report access and export basics.,High,"production-readiness,clinic-platform,testing,billing,reports",,PR-EPIC-04,M,"billing pages; report guards","Billing and reports smoke suite runs in CI or scheduled validation"
PR-EPIC-05,Epic,Reminder and Notification Hardening,Make reminder delivery reliable and measurable.,High,"production-readiness,clinic-platform,observability",PR-EPIC-05,,L,,Reminder delivery is measurable reliable and policy-aligned.
PR-501,Task,Instrument reminder delivery metrics,Record success failure latency and retry counts per reminder channel.,High,"production-readiness,clinic-platform,observability",,PR-EPIC-05,S,"reminder queue; reminder logs","Delivery metrics are queryable by channel and tenant"
PR-502,Story,Add vendor-failure and retry visibility,Surface external vendor failures and retry saturation clearly to operations.,High,"production-readiness,clinic-platform,observability",,PR-EPIC-05,M,PR-501,"Failed sends include actionable error context; Operators can distinguish temporary and terminal failure"
PR-503,Task,Add reminder content and consent governance,Define allowed reminder content and enforce consent-aware behavior.,High,"production-readiness,clinic-platform,compliance",,PR-EPIC-05,S,patient contact preferences,"Message templates avoid unsafe PHI exposure; Delivery respects patient contact preferences and opt-in rules"
PR-504,Story,Add admin reminder configuration validation,Prevent invalid or unsafe reminder configuration at tenant level.,High,"production-readiness,clinic-platform",,PR-EPIC-05,S,"reminder config UI or admin controls","Invalid offsets or empty channel configurations are blocked"
PR-EPIC-06,Epic,Reporting Confidence and Freshness,Ensure reports are trustworthy in production.,High,"production-readiness,clinic-platform,reports,observability",PR-EPIC-06,,M,,Report consumers can trust freshness and operational accuracy.
PR-601,Story,Expose report freshness in UI,Show users when report data was last refreshed.,High,"production-readiness,clinic-platform,reports",,PR-EPIC-06,S,refresh metadata,"Reports page displays freshness information"
PR-602,Task,Add stale-data warnings,Display warnings when report data is older than an accepted threshold.,High,"production-readiness,clinic-platform,reports",,PR-EPIC-06,S,PR-601,"Stale reports are visibly marked"
PR-603,Story,Add remote report validation suite,Validate core reporting RPCs and materialized-view assumptions against the online environment.,High,"production-readiness,clinic-platform,reports,testing",,PR-EPIC-06,M,remote DB test runner,"Report validation can be run consistently against remote infrastructure"
PR-EPIC-07,Epic,Patient Portal Maturity,Strengthen portal reliability security and auditability.,Medium,"production-readiness,clinic-platform,portal",PR-EPIC-07,,L,,Patient-facing portal access is safer more testable and more auditable.
PR-701,Story,Add portal audit trail for document and invoice access,Log sensitive patient-portal access events.,Medium,"production-readiness,clinic-platform,portal,compliance",,PR-EPIC-07,M,"portal services; audit infrastructure","Document and invoice access from the portal are auditable"
PR-702,Story,Improve portal states and recovery UX,Improve empty error loading and expired-session behavior.,Medium,"production-readiness,clinic-platform,portal",,PR-EPIC-07,S,portal pages,"Portal pages handle degraded states cleanly"
PR-703,Story,Add portal account lifecycle controls,Strengthen invited active and disabled account transitions and operational controls.,Medium,"production-readiness,clinic-platform,portal,security",,PR-EPIC-07,M,patient_accounts,"Portal account state changes are manageable and enforced"
PR-EPIC-08,Epic,Insurance Claims Maturity,Hardening for status lifecycle and operational visibility.,Medium,"production-readiness,clinic-platform,insurance",PR-EPIC-08,,M,,Insurance lifecycle and visibility are reliable enough for operations.
PR-801,Task,Add claim transition service tests,Expand automated coverage for valid and invalid status transitions.,Medium,"production-readiness,clinic-platform,insurance,testing",,PR-EPIC-08,S,insurance service,"Transition matrix is explicitly covered by tests"
PR-802,Story,Add insurance operations dashboard,Surface claim pipeline visibility by status and aging.,Medium,"production-readiness,clinic-platform,insurance,observability",,PR-EPIC-08,M,claim summary data,"Teams can view submitted processing approved denied and reimbursed trends"
PR-803,Task,Expand claim audit coverage,Ensure claim changes generate enough traceability for support and compliance.,Medium,"production-readiness,clinic-platform,insurance,compliance",,PR-EPIC-08,S,audit infrastructure,"Sensitive claim lifecycle changes are audit logged"
PR-EPIC-09,Epic,Telemedicine Operational Hardening,Improve safety diagnostics and compliance readiness.,Medium,"production-readiness,clinic-platform,telemedicine",PR-EPIC-09,,L,,Telemedicine usage is more diagnosable and policy-aligned.
PR-901,Story,Add call connection state UX,Surface connecting connected reconnecting and failed call states clearly.,Medium,"production-readiness,clinic-platform,telemedicine",,PR-EPIC-09,M,telemedicine page,"Users get meaningful feedback throughout the call lifecycle"
PR-902,Story,Add telemedicine session telemetry,Capture failure rate join latency disconnects and support diagnostics.,Medium,"production-readiness,clinic-platform,telemedicine,observability",,PR-EPIC-09,M,"video_sessions; call integration","Session quality and failure metrics are queryable"
PR-903,Task,Define recording and consent policy,Document whether recordings are allowed how consent works and what retention rules apply.,Medium,"production-readiness,clinic-platform,telemedicine,compliance",,PR-EPIC-09,S,vendor review,"Policy exists and is reflected in product behavior"
PR-EPIC-10,Epic,Pharmacy and Procurement Completion,Turn inventory foundations into operational workflows.,Medium,"production-readiness,clinic-platform,pharmacy,procurement",PR-EPIC-10,,XL,,Medication operations move beyond basic inventory into full operational workflow.
PR-1001,Story,Build suppliers and purchase orders UI,Surface suppliers and purchase orders in clinic operations UI.,Medium,"production-readiness,clinic-platform,procurement",,PR-EPIC-10,L,procurement schema,"Users can manage supplier records and purchase order lifecycle"
PR-1002,Story,Build stock receipt and batch workflow,Support receiving stock into batches with expiry and lot data.,Medium,"production-readiness,clinic-platform,procurement,pharmacy",,PR-EPIC-10,L,"stock receipts; medication batches","Receipts create or update stock batches correctly"
PR-1003,Story,Surface inventory movements and reconciliation,Show stock movement history and detect mismatches.,Medium,"production-readiness,clinic-platform,procurement,pharmacy,observability",,PR-EPIC-10,M,inventory movements,"Movement history is visible; Reconciliation mismatches can be investigated"
PR-EPIC-11,Epic,Waiting Room Queue Operations,Build clinic queue workflow on top of realtime foundations.,Low,"production-readiness,clinic-platform,realtime",PR-EPIC-11,,L,,Clinic queue operations are usable and privacy-aware.
PR-1101,Story,Build waiting queue management page,Create the queue page and actions for check-in and status progression.,Low,"production-readiness,clinic-platform,realtime",,PR-EPIC-11,L,appointment_queue,"Queue workflow is usable from the clinic app"
PR-1102,Task,Add realtime subscription hardening for queue updates,Ensure queue subscriptions are narrowly scoped and operationally safe.,Low,"production-readiness,clinic-platform,realtime,security",,PR-EPIC-11,S,realtime layer,"Queue realtime subscriptions are tenant-scoped and efficient"
PR-1103,Task,Add queue privacy review,Review displayed patient identifiers for privacy-safe clinic usage.,Low,"production-readiness,clinic-platform,realtime,compliance",,PR-EPIC-11,XS,queue UI,"Queue UI uses approved patient-identification strategy"
PR-EPIC-12,Epic,External Lab and Partner Integrations,Operationalize external integrations safely.,Low,"production-readiness,clinic-platform,integrations",PR-EPIC-12,,XL,,Partner and lab integrations are manageable monitored and safer to operate.
PR-1201,Story,Build external lab connection management UI,Add clinic-admin tooling for external lab connections and mappings.,Low,"production-readiness,clinic-platform,integrations",,PR-EPIC-12,L,external lab schema,"Connections and mappings can be created updated and reviewed"
PR-1202,Story,Add replay and dead-letter handling for inbound events,Make failed inbound events diagnosable and replayable.,Low,"production-readiness,clinic-platform,integrations,observability",,PR-EPIC-12,M,inbound webhook pipeline,"Failed events can be retried or replayed safely"
PR-1203,Story,Add partner API key management workflow,Add UI and operational flow for creating rotating and revoking API keys.,Low,"production-readiness,clinic-platform,integrations,security",,PR-EPIC-12,M,integration_api_keys,"API keys can be rotated and audited safely"
PR-1204,Task,Add integration health monitoring,Track throughput error rate and last successful event per integration.,Low,"production-readiness,clinic-platform,integrations,observability",,PR-EPIC-12,S,integration logs,"Operators can assess integration health without manual investigation"
